s_xpparam	xdiff
s_xrecord	xtypes
salfirst_T	spell
salitem_T	spell
sattr_T	types
save_redo_T	getchar
save_state_T	ex_docmd
save_v_event_T	eval
schar_T	types
scid_T	typval
scriptitem_T	runtime
scriptvar_T	runtime
sctx_T	typval
searchit_arg_T	search
sign_T	sign
signal_cb	event
signal_close_cb	event
signal_watcher	event
slang_S	spell
slang_T	spell
smt_T	spell
socket_cb	event
socket_close_cb	event
socket_watcher	event
spelltab_T	spell
spellvars_T	drawline
ssize_t	termkey-internal
state_check_callback	state
state_execute_callback	state
staticList10_T	typval
statuscol_T	statusline
stl_hlrec	statusline
stl_hlrec_t	statusline
strbuf_t	strbuf
stream	event
stream_close_cb	event
stream_read_cb	event
stream_write_cb	event
switchwin_T	window
syn_state	syntax
syn_time_T	buffer
synblock_T	buffer
synstate_T	types
tabpage_S	buffer
tabpage_T	buffer
taggy_T	buffer
tagname_T	tag
tasave_T	getchar
terminal	terminal
terminal_close_cb	terminal
terminal_read_pause_cb	terminal
terminal_resize_cb	terminal
terminal_resume_cb	terminal
terminal_write_cb	terminal
time_cb	event
time_watcher	event
timer_T	eval
typebuf_T	getchar
typval_T	typval
typval_vval_union	typval
u_entry	undo
u_entry_T	undo
u_header	undo
u_header_T	undo
ucmd_T	usercmd
ufunc_S	typval
ufunc_T	typval
undo_object	extmark
uvarnumber_T	typval
var_flavour_T	eval
varnumber_T	typval
vim_acl_T	types
vim_exception	ex_eval
vim_state	state
vimconv_T	mbyte
vimmenu_T	menu
vimoption_T	option
visualinfo_T	undo
wbuffer	event
wbuffer_data_finalizer	event
win_T	types
win_execute_T	window
window_S	buffer
wininfo_S	buffer
winopt_T	buffer
wline_T	buffer
wordcount_T	spell
xdchange_t	xdiffi
xdemitcb_t	xdiff
xdemitconf_t	xdiff
xdfenv_t	xtypes
xdfile_t	xtypes
xdl_emit_hunk_consume_func_t	xdiff
xfmark_T	mark
xp_prefix_T	cmdexpand
xpparam_t	xdiff
xrecord_t	xtypes
yankreg_T	register
int8_t	libc
int16_t	libc
int32_t	libc
int64_t	libc
uint8_t	libc
uint16_t	libc
uint32_t	libc
uint64_t	libc
intmax_t	libc
uintmax_t	libc
intptr_t	libc
uintptr_t	libc
size_t	libc
ptrdiff_t	libc
off_t	libc
gid_t	libc
uid_t	libc
time_t	libc
iconv_t	libc
iovec	libc
termios	libc
winsize	libc
tm	libc
speed_t	libc
tcflag_t	libc
cc_t	libc
sa_family_t	libc
socklen_t	libc
luaL_Buffer	lua
luaL_Reg	lua
lua_CFunction	lua
lua_Integer	lua
lua_Number	lua
lua_State	lua
mpack_one_parser_t	mpack
mpack_parser_t	mpack
mpack_rpc_one_session_t	mpack
mpack_rpc_session_t	mpack
mpack_token_s_data	mpack
utf8proc_int32_t	utf8proc
KeyDict_buf_attach	keysets
KeyDict_buf_delete	keysets
KeyDict_clear_autocmds	keysets
KeyDict_cmd	keysets
KeyDict_cmd_opts	keysets
KeyDict_complete_set	keysets
KeyDict_context	keysets
KeyDict_create_augroup	keysets
KeyDict_create_autocmd	keysets
KeyDict_echo_opts	keysets
KeyDict_empty	keysets
KeyDict_eval_statusline	keysets
KeyDict_exec_autocmds	keysets
KeyDict_exec_opts	keysets
KeyDict_get_autocmds	keysets
KeyDict_get_commands	keysets
KeyDict_get_extmark	keysets
KeyDict_get_extmarks	keysets
KeyDict_get_highlight	keysets
KeyDict_get_ns	keysets
KeyDict_highlight	keysets
KeyDict_keymap	keysets
KeyDict_ns_opts	keysets
KeyDict_open_term	keysets
KeyDict_option	keysets
KeyDict_redraw	keysets
KeyDict_runtime	keysets
KeyDict_set_decoration_provider	keysets
KeyDict_set_extmark	keysets
KeyDict_tabpage_config	keysets
KeyDict_user_command	keysets
KeyDict_win_config	keysets
KeyDict_win_text_height	keysets
Array	api
ArrayBuilder	api
Dict	api
Object	api
Boolean	api
Buffer	api
Float	api
Integer	api
Window	api
Tabpage	api
LuaRef	api
HlMessage	api
Error	api
Arena	api
ArenaMem	api
AdditionalDataBuilder	api
ChangedtickDictItem	api
ExtmarkInfoArray	api
extmark_undo_vec_t	extmark
Intersection	marktree
CmdlineColors	ex_getln
loop_0	event
